Light,Intensity,Rep,StartDate,DatetoPupate,DaystoPupate,Initials
Control,0,1,7/19/2024,7/25/2024,6,"KD,MU"
Control,0,3,7/19/2024,7/25/2024,6,"KD,MU"
Control,0,6,7/19/2024,7/25/2024,6,"KD,MU"
Control,0,6,7/19/2024,7/25/2024,6,"KD,MU"
LED,10,4,7/19/2024,7/25/2024,6,"KD,MU"
LED,10,4,7/19/2024,7/25/2024,6,"KD,MU"
LED,30,3,7/19/2024,7/25/2024,6,"KD,MU"
LED,30,4,7/19/2024,7/25/2024,6,"KD,MU"
LED,30,4,7/19/2024,7/25/2024,6,"KD,MU"
LED,30,4,7/19/2024,7/25/2024,6,"KD,MU"
LED,30,5,7/19/2024,7/25/2024,6,"KD,MU"
LED,30,5,7/19/2024,7/25/2024,6,"KD,MU"
LED,30,6,7/19/2024,7/25/2024,6,"KD,MU"
LED,60,2,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,1,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,2,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,2,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,3,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,3,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,4,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,4,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,4,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,5,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,6,7/19/2024,7/25/2024,6,"KD,MU"
LED,100,6,7/19/2024,7/25/2024,6,"KD,MU"
LED,200,1,7/19/2024,7/25/2024,6,"KD,MU"
LED,200,1,7/19/2024,7/25/2024,6,"KD,MU"
LED,200,2,7/19/2024,7/25/2024,6,"KD,MU"
LED,200,4,7/19/2024,7/25/2024,6,"KD,MU"
LED,200,5,7/19/2024,7/25/2024,6,"KD,MU"
LED,200,6,7/19/2024,7/25/2024,6,"KD,MU"
LED,200,6,7/19/2024,7/25/2024,6,"KD,MU"
HPS,10,1,7/19/2024,7/25/2024,6,"KD,MU"
HPS,10,1,7/19/2024,7/25/2024,6,"KD,MU"
HPS,10,2,7/19/2024,7/25/2024,6,"KD,MU"
HPS,10,3,7/19/2024,7/25/2024,6,"KD,MU"
HPS,10,5,7/19/2024,7/25/2024,6,"KD,MU"
HPS,30,4,7/19/2024,7/25/2024,6,"KD,MU"
HPS,30,4,7/19/2024,7/25/2024,6,"KD,MU"
HPS,30,4,7/19/2024,7/25/2024,6,"KD,MU"
HPS,30,6,7/19/2024,7/25/2024,6,"KD,MU"
HPS,60,1,7/19/2024,7/25/2024,6,"KD,MU"
HPS,60,3,7/19/2024,7/25/2024,6,"KD,MU"
HPS,60,4,7/19/2024,7/25/2024,6,"KD,MU"
HPS,60,4,7/19/2024,7/25/2024,6,"KD,MU"
HPS,60,5,7/19/2024,7/25/2024,6,"KD,MU"
HPS,60,5,7/19/2024,7/25/2024,6,"KD,MU"
HPS,200,5,7/19/2024,7/25/2024,6,"KD,MU"
HPS,200,5,7/19/2024,7/25/2024,6,"KD,MU"
HPS,200,6,7/19/2024,7/25/2024,6,"KD,MU"
