Light,Intensity,Rep,StartDate,EmergeDate,Sex,Initials,DaystoEmerge
LED,200,5,7/19/2024,7/27/2024,M,"LJ,KD",8
Control,0,1,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,1,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,1,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,2,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,2,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,3,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,3,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,4,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,5,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,5,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,6,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,6,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,6,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,6,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,6,7/19/2024,7/28/2024,M,"LJ,MU",9
Control,0,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,3,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,3,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,10,5,7/19/2024,7/28/2024,F,"LJ,MU",9
LED,30,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,2,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,3,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,4,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,5,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,6,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,30,6,7/19/2024,7/28/2024,F,"LJ,MU",9
LED,60,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,1,7/19/2024,7/28/2024,M,"LJ,MU",9
LED,60,1,7/19/2024,7/28/2024,M,"LJ,MU",9
