Light,Intensity,Rep,Date,Survival,Stage
HPS,10,3,7/26/2024,0,pupa
HPS,30,6,7/27/2024,0,larva
Control,0,6,7/28/2024,0,pupa
LED,10,5,7/28/2024,0,pupa
Control,0,6,8/2/2024,0,larva
LED,10,2,8/2/2024,0,pupa
LED,10,2,8/2/2024,0,pupa
LED,10,4,8/2/2024,0,pupa
LED,10,4,8/2/2024,0,pupa
LED,30,2,8/2/2024,0,pupa
LED,30,6,8/2/2024,0,larva
LED,60,2,8/2/2024,0,larva
LED,60,6,8/2/2024,0,pupa
LED,100,1,8/2/2024,0,larva
LED,100,2,8/2/2024,0,larva
LED,200,1,8/2/2024,0,pupa
LED,200,3,8/2/2024,0,pupa
LED,200,4,8/2/2024,0,larva
LED,200,5,8/2/2024,0,larva
HPS,10,6,8/2/2024,0,pupa
HPS,30,6,8/2/2024,0,pupa
HPS,30,6,8/2/2024,0,larva
HPS,60,2,8/2/2024,0,larva
HPS,60,2,8/2/2024,0,larva
HPS,60,5,8/2/2024,0,larva
HPS,60,5,8/2/2024,0,larva
HPS,60,6,8/2/2024,0,pupa
HPS,100,2,8/2/2024,0,larva
HPS,100,6,8/2/2024,0,larva
HPS,200,1,8/2/2024,0,larva
HPS,200,3,8/2/2024,0,pupa
HPS,200,3,8/2/2024,0,larva
HPS,200,4,8/2/2024,0,pupa
HPS,200,6,8/2/2024,0,pupa
Control,0,2,8/3/2024,0,pupa
Control,0,3,8/3/2024,0,pupa
Control,0,4,8/3/2024,0,pupa
Control,0,5,8/3/2024,0,pupa
Control,0,5,8/3/2024,0,pupa
Control,0,1,8/3/2024,0,pupa
HPS,200,4,8/3/2024,0,pupa
LED,60,2,8/5/2024,0,larva
LED,200,6,8/5/2024,0,pupa
LED,200,6,8/5/2024,0,pupa
LED,10,5,8/6/2024,0,pupa
LED,30,1,8/6/2024,0,pupa
LED,30,6,8/6/2024,0,pupa
LED,60,3,8/6/2024,0,pupa
LED,100,3,8/6/2024,0,pupa
HPS,10,1,8/6/2024,0,pupa
HPS,10,2,8/6/2024,0,pupa
HPS,30,2,8/6/2024,0,pupa
HPS,30,3,8/6/2024,0,pupa
HPS,60,6,8/6/2024,0,pupa
HPS,60,6,8/6/2024,0,pupa
HPS,60,6,8/6/2024,0,pupa
HPS,60,6,8/6/2024,0,pupa
HPS,100,3,8/6/2024,0,pupa
HPS,100,3,8/6/2024,0,pupa
HPS,200,4,8/6/2024,0,pupa
LED,30,1,8/7/2024,0,pupa
LED,60,4,8/7/2024,0,pupa
LED,60,5,8/7/2024,0,pupa
LED,100,4,8/8/2024,0,pupa
HPS,60,5,8/8/2024,0,larva
LED,10,2,8/9/2024,0,pupa
HPS,200,3,8/11/2024,0,larva
HPS,200,3,8/13/2024,0,larva
LED,60,6,8/15/2024,0,larva
HPS,60,5,8/19/2024,0,larva
HPS,60,5,8/19/2024,0,larva
Control,0,1,NA,1,NA
Control,0,1,NA,1,NA
Control,0,1,NA,1,NA
Control,0,2,NA,1,NA
Control,0,2,NA,1,NA
Control,0,3,NA,1,NA
Control,0,3,NA,1,NA
Control,0,4,NA,1,NA
Control,0,5,NA,1,NA
Control,0,5,NA,1,NA
Control,0,6,NA,1,NA
Control,0,6,NA,1,NA
Control,0,6,NA,1,NA
Control,0,6,NA,1,NA
Control,0,6,NA,1,NA
Control,0,6,NA,1,NA
LED,10,1,NA,1,NA
LED,10,1,NA,1,NA
LED,10,1,NA,1,NA
LED,10,1,NA,1,NA
LED,10,1,NA,1,NA
LED,10,2,NA,1,NA
LED,10,3,NA,1,NA
LED,10,3,NA,1,NA
LED,10,4,NA,1,NA
LED,10,4,NA,1,NA
LED,10,5,NA,1,NA
LED,10,5,NA,1,NA
LED,10,5,NA,1,NA
LED,10,6,NA,1,NA
LED,10,6,NA,1,NA
LED,10,5,NA,1,NA
LED,30,1,NA,1,NA
LED,30,1,NA,1,NA
LED,30,1,NA,1,NA
LED,30,2,NA,1,NA
LED,30,2,NA,1,NA
LED,30,2,NA,1,NA
LED,30,2,NA,1,NA
LED,30,2,NA,1,NA
LED,30,2,NA,1,NA
LED,30,3,NA,1,NA
LED,30,4,NA,1,NA
LED,30,4,NA,1,NA
LED,30,4,NA,1,NA
LED,30,4,NA,1,NA
LED,30,4,NA,1,NA
LED,30,5,NA,1,NA
LED,30,5,NA,1,NA
LED,30,5,NA,1,NA
LED,30,5,NA,1,NA
LED,30,5,NA,1,NA
LED,30,5,NA,1,NA
LED,30,5,NA,1,NA
LED,30,5,NA,1,NA
LED,30,5,NA,1,NA
LED,30,6,NA,1,NA
LED,30,6,NA,1,NA
LED,30,6,NA,1,NA
LED,30,6,NA,1,NA
LED,60,1,NA,1,NA
LED,60,1,NA,1,NA
LED,60,1,NA,1,NA
LED,60,1,NA,1,NA
LED,60,1,NA,1,NA
LED,60,1,NA,1,NA
LED,60,1,NA,1,NA
LED,60,1,NA,1,NA
LED,60,2,NA,1,NA
LED,60,2,NA,1,NA
LED,60,2,NA,1,NA
LED,60,3,NA,1,NA
LED,60,4,NA,1,NA
LED,60,4,NA,1,NA
LED,60,4,NA,1,NA
LED,60,4,NA,1,NA
LED,60,4,NA,1,NA
LED,60,4,NA,1,NA
LED,60,5,NA,1,NA
LED,60,6,NA,1,NA
LED,60,6,NA,1,NA
LED,60,6,NA,1,NA
LED,60,1,NA,1,NA
LED,100,1,NA,1,NA
LED,100,1,NA,1,NA
LED,100,1,NA,1,NA
LED,100,1,NA,1,NA
LED,100,1,NA,1,NA
LED,100,2,NA,1,NA
LED,100,2,NA,1,NA
LED,100,2,NA,1,NA
LED,100,2,NA,1,NA
LED,100,2,NA,1,NA
LED,100,2,NA,1,NA
LED,100,3,NA,1,NA
LED,100,3,NA,1,NA
LED,100,3,NA,1,NA
LED,100,3,NA,1,NA
LED,100,3,NA,1,NA
LED,100,4,NA,1,NA
LED,100,4,NA,1,NA
LED,100,4,NA,1,NA
LED,100,4,NA,1,NA
LED,100,5,NA,1,NA
LED,100,5,NA,1,NA
LED,100,5,NA,1,NA
LED,100,6,NA,1,NA
LED,100,6,NA,1,NA
LED,100,6,NA,1,NA
LED,100,6,NA,1,NA
LED,100,6,NA,1,NA
LED,100,3,NA,1,NA
LED,100,4,NA,1,NA
LED,100,4,NA,1,NA
LED,100,6,NA,1,NA
LED,200,1,NA,1,NA
LED,200,1,NA,1,NA
LED,200,1,NA,1,NA
LED,200,1,NA,1,NA
LED,200,1,NA,1,NA
LED,200,1,NA,1,NA
LED,200,1,NA,1,NA
LED,200,2,NA,1,NA
LED,200,2,NA,1,NA
LED,200,2,NA,1,NA
LED,200,3,NA,1,NA
LED,200,4,NA,1,NA
LED,200,4,NA,1,NA
LED,200,4,NA,1,NA
LED,200,5,NA,1,NA
LED,200,5,NA,1,NA
LED,200,5,NA,1,NA
LED,200,6,NA,1,NA
LED,200,6,NA,1,NA
LED,200,6,NA,1,NA
LED,200,6,NA,1,NA
LED,200,6,NA,1,NA
LED,200,6,NA,1,NA
HPS,10,1,NA,1,NA
